customer_id,cluster
1596,5
1597,6
1598,0
1599,3
1600,5
1601,6
1602,6
1603,5
1604,0
1605,7
1606,1
1607,5
1608,4
1609,2
1610,5
1611,1
1612,5
1613,3
1614,5
1615,1
1616,1
1618,4
1619,3
1620,0
1621,0
1622,2
1623,6
1625,0
1626,6
1627,0
1628,3
1629,2
1631,5
1633,6
1635,1
1636,5
1637,1
1638,3
1639,6
1641,1
1642,2
1643,0
1644,1
1646,2
1647,7
1649,6
1650,1
1651,6
1652,5
1653,2
1655,3
1657,4
1658,6
1659,2
1660,4
1661,1
1662,6
1665,5
1666,6
1667,1
1668,1
1669,7
1670,5
1671,0
1672,0
1673,1
1674,3
1675,2
1676,1
1677,2
1678,6
1679,7
1681,4
1682,6
1683,6
1684,4
1685,3
1686,2
1687,6
1688,6
1689,6
1690,2
1691,3
1692,1
1693,7
1694,4
1695,3
1696,5
1698,4
1699,6
1700,2
1701,4
1702,7
1703,6
1704,2
1705,0
1707,7
1708,3
1709,1
1710,3
1711,3
1712,6
1714,1
1715,0
1716,5
1717,7
1718,3
1719,6
1720,6
1721,4
1722,2
1723,2
1724,2
1726,7
1727,1
1728,5
1729,2
1730,7
1731,1
1732,2
1733,6
1734,5
1735,6
1736,2
1737,5
1738,2
1739,3
1741,1
1742,0
1744,7
1746,1
1747,6
1749,3
1750,3
1751,4
1752,5
1753,2
1754,7
1755,5
1756,0
1757,2
1758,4
1759,0
1760,6
1761,0
1762,1
1763,1
1764,6
1765,6
1766,5
1767,0
1768,6
1769,7
1770,6
1771,4
1772,6
1773,3
1774,6
1775,4
1776,1
1778,4
1779,4
1780,0
1781,3
1782,1
1783,7
1784,6
1785,1
1786,1
1787,3
1788,3
1789,5
1790,5
1791,3
1792,1
1793,1
1794,5
1795,2
1796,6
1797,6
1798,7
1799,3
1800,5
1801,7
1803,2
1804,6
1805,3
1806,3
1807,5
1808,0
1809,3
1810,2
1811,6
1813,7
1814,5
1816,6
1818,6
1820,0
1821,3
1824,0
1825,3
1828,6
1829,4
1830,3
1831,0
1832,6
1833,6
1834,1
1835,7
1836,4
1837,0
1838,6
1839,0
1840,3
1841,3
1842,6
1844,0
1845,5
1846,6
1848,1
1849,7
1850,7
1851,1
1853,3
1854,6
1856,0
1857,6
1858,3
1859,4
1860,3
1861,1
1863,6
1864,3
1865,6
1866,5
1867,2
1869,7
1870,1
1871,3
1872,1
1874,0
1876,7
1877,5
1878,0
1880,5
1881,1
1882,6
1883,5
1884,5
1886,0
1887,3
1888,1
1889,2
1890,1
1891,2
1892,0
1893,6
1896,7
1897,1
1898,6
1899,7
1900,1
1901,7
1903,0
1904,0
1905,1
1906,5
1908,7
1909,1
1910,1
1911,7
1912,4
1914,3
1915,1
1917,1
1918,4
1920,5
1922,7
1923,6
